dyad;participant;eat;start.time;end.time;duration;raw.text;collaborative.processes;collaborative.categories;give.explanation;check.comprehension;give.task.information;outside.activity;disagree;show.hostility;show.active.listening;show.solidarity;elicit.partner.information;give.self.information;elicit.proposition;elicit.opinion;incorporate;give.recall;elicit.recall;tool.discourse;coordinate.teamwork;accept;give.opinion.against;give.proposition;elicit.task.information;manage.task;show.reflection;agree;use.social.convention;relax.atmosphere;check.reception;give.opinion.for;shared.emotion;unix.time.video;excel.time.video;human.time.video;human.time.emotion;;;;;
D02;D02P01;Oui;133,957;134,467;0,51;hm ::;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112074;41079.55641;13:21:14;;;;;;
D02;D02P01;Oui;135,97;142,89;6,92;dans le style euh faire réfléchir sur euh ne fais pas aux autres c'que t'aimerais pas qu'on te fasse \ tu vois un truc du genre;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112076;41079.55643;13:21:16;;;;;;
D02;D02P02;Oui;142,87;146,13;3,26;oui pour impliquer la personne pour qu'elle euh effectivement ouais;incorporate;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112083;41079.55651;13:21:23;;;;;;
D02;D02P01;Oui;145,53;146,13;0,6;voilà ouais;accept;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1340112086;41079.55655;13:21:26;;;;;;
D02;D02P01;Oui;146,22;147,41;1,19;jsais juste pas comment le tourner /;give.self.information;Information;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112086;41079.55655;13:21:26;;;;;;
D02;D02P01;Oui;147,845;148,505;0,66;euh ::;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112088;41079.55657;13:21:28;;;;;;
D02;D02P01;Oui;149,665;152,005;2,34;jpense sous forme de question genre euh (.);give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112090;41079.55659;13:21:30;;;;;;
D02;D02P02;Oui;152,015;154,785;2,77;est-ce que aimerais tu qu'on te fasse c'que tu :::;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112092;41079.55662;13:21:32;;;;;;
D02;D02P02;Oui;154,85;156,43;1,58;fin ouais genre un truc comme ça;give.recall;Information;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112095;41079.55665;13:21:35;;;;;;
D02;D02P01;Oui;155,63;156,24;0,61;ah ouais /;accept;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1340112096;41079.55666;13:21:36;;;;;;
D02;D02P01;Oui;156,855;158,875;2,02;ah voilà \ aimerais tu ouais?;elicit.recall;Information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112097;41079.55668;13:21:37;;;;;;
D02;D02P02;Oui;158,505;160,445;1,94;aimerais-tu qu'on te fasse euh ::;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112099;41079.5567;13:21:39;;;;;;
